"id","name","location","round_1","round_2","round_3","round_4","round_4","time","total"
57,"ВПК ""Гусары""","Чувашская Республика, город Шумерля","6","5","5","5","12","11:06:48797","33"
58,"КонQUIZтадоры","Елец","5","7","5","4","12","11:07:18472","33"
59,"Патрия","г.Навашино","6","6","5","4","12","11:06:20190","33"
60,"ЦВР","Тамбов","5","8","4","4","12","11:06:58017","33"
61,"ЭкоМолодежь","Иркутск","6","7","5","4","11","11:06:57584","33"
62,"Вектор успеха","р. п. Мокшан Пензенская область","6","8","4","4","11","11:07:15789","33"
63,"Токаревский триколор","Токаревка Тамбовская область","5","9","5","4","10","11:07:09859","33"
64,"Плямя","Мытищи","5","10","4","4","10","11:07:04952","33"
65,"Курские соловьи","Курск","4","6","5","2","15","11:06:35943","32"
66,"Молодежь Гаджиево","Гаджиево","3","10","2","2","15","11:07:09317","32"
67,"охтинка","Санкт-Петербург","4","5","4","5","14","11:06:45368","32"
68,"Потомки Ермака","село Вагай","6","3","4","5","14","11:07:31974","32"
69,"бурундуки","Приморско-Ахтарск","4","6","4","4","14","11:07:19910","32"
70,"Корвет","Курган","5","6","4","3","14","11:07:00292","32"
71,"Алмаз","Краснодар","6","3","5","5","13","11:06:32194","32"
72,"Звёздочка","С.Тоцкое Второе","3","7","4","5","13","11:06:34299","32"
73,"Steplight","Жигулёвск","5","4","6","4","13","11:07:03595","32"
74,"Молсовет68","Мичуринский район","5","7","3","4","13","11:07:32955","32"
75,"ЁН АРМИЯ МУДО ""Дом детского творчества"" пгт. Усогорск","Усогорск","5","7","4","3","13","11:07:27740","32"
76,"Граждане","Елец","4","6","5","5","12","11:07:49272","32"
77,"Лосево-малая Родина","Воронежская обл.,Павловский р-н, с.Лосево","5","5","5","5","12","11:07:19439","32"
78,"Темрючане","Темрюк","4","7","4","5","12","11:07:41149","32"
79,"Музыканты","Чебоксары","5","7","3","5","12","11:07:53980","32"
80,"ПРАВДА","Самарская область Ставропольский район село Выселки","4","6","6","4","12","11:07:14531","32"
81,"МОУ СОШ 2 г. Краснослободска","Краснослободск","5","6","5","4","12","11:07:21093","32"
82,"Искусницы","Чебоксары","5","7","4","4","12","11:07:45720","32"
83,"Летучие голландцы","Краснодон","6","6","5","3","12","11:07:16122","32"
84,"Дзержинец","Санкт-Петербург","5","7","4","5","11","11:07:30248","32"
85,"Отчаянные школьники","Башмаково","5","7","5","4","11","11:07:27048","32"
86,"Патриотики51","Мурманск","2","10","6","4","10","11:07:07013","32"
87,"АртикЛисы","Мурманск","3","10","5","4","10","11:07:12710","32"
88,"ВЫСОКОЕ НАПРЯЖЕНИЕ","Снежногорск, Мурманская область","5","8","5","4","10","11:07:20500","32"
89,"Ново Депо","Нововоронеж","3","12","4","3","10","11:07:23843","32"
90,"Кадыйские музейщики","Кадый","4","9","4","6","9","11:07:06209","32"
91,"НСО Колледжа МГИМО","Москва","5","10","4","4","9","11:07:20747","32"
92,"Победители","Задонский район с.Хмелинец","5","10","6","3","8","11:07:15495","32"
93,"Волонтеры Трб","Тарбагатай","4","4","3","5","15","11:07:09893","31"
94,"Регион 45","Альменево","5","7","2","2","15","11:07:17835","31"
95,"36.6","Пенза","2","6","5","4","14","11:07:14784","31"
96,"Парфяне","Парфеньево","4","5","4","4","14","11:07:08817","31"
97,"СвятоЗар","Зарайск","2","6","5","5","13","11:07:12623","31"
98,"Всё просто!","Зарайск","3","5","5","5","13","11:07:02796","31"
99,"Женский батальон","Белозерское, Курганская область","4","6","4","4","13","11:06:58592","31"
100,"Полярнинский КЦСОН","ЗАТО Александровск","4","6","4","4","13","11:07:11804","31"
101,"Очищающее пламя","Санкт-Петербург","5","6","3","4","13","11:07:23394","31"
102,"Карасик","Тольятти","4","7","4","5","11","11:07:08564","31"
103,"НеПобедимые","Сланцы","5","8","3","4","11","11:06:59739","31"
104,"Воспитатели Красноярского детского сада 323","Красноярск","5","8","4","3","11","11:07:14867","31"
105,"Только свои","Воткинский район, село Перевозное","5","6","5","5","10","11:07:26158","31"
106,"Северяне","П.г.т. Мурмаши","5","8","3","5","10","11:07:02333","31"
107,"Шахунские ребята","Шахунья","2","10","5","4","10","11:07:10978","31"
108,"МБУ КИРО и РО","Лебедянь","5","7","5","4","10","11:07:07086","31"
109,"Росском","Воронеж","4","9","4","4","10","11:07:17211","31"
110,"ЛиКБез","Посёлок Юшала","4","9","5","4","9","11:07:15634","31"
111,"Позитив","с.Донское","3","11","4","5","8","11:07:03955","31"
112,"попугайчики","Елец","5","5","2","3","15","11:07:01659","30"
113,"Русские не сдаются!","Зарайск","5","1","6","4","14","11:06:16413","30"
114,"импульс ДМО","жигулевск","5","1","6","5","13","11:07:03064","30"
115,"Знатоки биохим","село Дивеево","4","4","4","5","13","11:06:44760","30"
116,"Queens","Новая усмань","3","5","5","4","13","11:07:05124","30"
117,"Детский сад ""Радуга"" р. п. Ветлужский","р. п. Ветлужский","4","5","4","4","13","11:06:42765","30"
118,"Надежда!","Нижний Новгород","3","9","3","2","13","11:07:03307","30"
119,"Вместе","Нововоронеж","5","5","3","5","12","11:07:05892","30"
120,"Дети Ипподрома","Воронеж","6","5","3","4","12","11:07:09976","30"
121,"Banana brothers","Краснодон","5","5","5","3","12","11:07:00939","30"
122,"Крылья 17","Балахна","4","5","5","5","11","11:07:17640","30"
123,"Голову дома забыли","с. Сладково","5","5","4","5","11","11:07:41386","30"
124,"ОСТ","Железногорск","4","6","5","4","11","11:07:03996","30"
125,"OLD SCHOOL","с. Новая Чернушка","4","6","5","4","11","11:07:23616","30"
126,"Молния","Нижний Ломов Пензенская область","4","9","3","3","11","11:07:13195","30"
127,"Русские патриоты","Воронеж","5","8","3","3","11","11:07:16280","30"
128,"Философы","Острогожск","4","8","4","4","10","11:07:33734","30"
129,"Мамичи","Медногорск","5","7","4","4","10","11:07:13776","30"
130,"Гладиолус","Темников","6","6","4","4","10","11:07:11088","30"
131,"Сормовские патриоты","Нижний Новгород","4","7","6","3","10","11:07:09865","30"
132,"Молодёжный ресурс","Измалково","5","7","5","3","10","11:06:59865","30"
133,"Мы выбираем жизнь","Княгинино","5","7","5","4","9","11:06:58374","30"
134,"Команда мечты","Лебедянь","5","4","4","1","15","11:07:32603","29"
135,"НЕученые","Дивеево","4","3","4","5","13","11:06:33062","29"
136,"Крестоносцы","Новороссийск","4","4","4","4","13","11:07:06766","29"
137,"Банда","Сусуман","4","5","2","6","12","11:06:46184","29"
138,"Славяне","с.Тимирязево Башмаковский р-он Пензенская обл.","4","4","4","5","12","11:07:36268","29"
139,"CODA","Краснодон","4","5","4","4","12","11:07:10993","29"
140,"Шумячский ДДТ","п. Шумячи, Смоленская область","5","4","4","4","12","11:07:23746","29"
141,"Нечайники","Мунино","4","6","4","3","12","11:07:18313","29"
142,"МолоДЦЫ","Темрюк","3","8","3","3","12","11:07:08978","29"
143,"Садовчане","Садовое","5","5","5","2","12","11:06:59189","29"
144,"Поморы","Северодвинск","4","9","2","2","12","11:06:36264","29"
145,"Мироновцы","муниципальный район Сергиевск","5","4","6","3","11","11:07:30194","29"
146,"ГосКвизКонтроль","Саратов","3","7","5","3","11","11:07:02740","29"
147,"Генеральский Квас","Саратов","6","6","4","2","11","11:06:57008","29"
148,"Патриоты Отрадного","Отрадный","5","5","4","5","10","11:07:20499","29"
149,"Як-130","Борисоглебск","5","6","4","4","10","11:07:14511","29"
150,"отчаянные домохозяйки","Ипатово","5","7","3","4","10","11:07:25282","29"
151,"Что-нибудь хорошее","Нижнегорский","6","4","6","3","10","11:07:24002","29"
152,"Сказочные","Тольятти","5","5","5","5","9","11:07:03182","29"
153,"Десятилон","Лебедянский район село Ольховец","4","8","3","5","9","11:07:35028","29"
154,"ФлАгМаН-I","Нижний Новгород","4","6","6","5","8","11:07:19162","29"
155,"Книгини","Тотьма","5","7","4","5","8","11:07:00840","29"
156,"Бригада","Шатура","6","6","5","4","8","11:07:28030","29"
157,"Ночные ведьмы","п.Гайны","4","9","4","4","8","11:07:15951","29"
158,"Сборная МБОУ Гимназия 9 им.дважды героя Советского Союза С.Г.Горшкова","Коломна","6","6","6","3","8","11:07:11625","29"
159,"fresh'культ","Шексна","5","9","4","5","6","11:07:27823","29"
160,"Островитяне","Санкт-Петербург","0","4","4","3","17","11:07:44761","28"
161,"Зажигалочки","Тольятти","2","3","4","4","15","11:07:05900","28"
162,"Пятеро независимых!","Посёлок 2 участка Института им. В. В. Докучаева","4","3","3","3","15","11:07:04852","28"
163,"Центр досуга, ремесел и туризма","рп. Бутурлино","5","1","4","4","14","11:06:58662","28"
164,"Ребятки","Ребятки","3","4","3","5","13","11:06:46340","28"
165,"Астралис","Воронеж","4","4","4","3","13","11:06:59805","28"
166,"8-А Гимназия 1","Ровеньки","3","5","3","5","12","11:06:27444","28"
167,"Яшкино","пгт. Яшкино","4","5","2","5","12","11:07:07446","28"
168,"Патриоты 48","п. Лески Краснинского района Липецкой области","4","5","2","5","12","11:07:10148","28"
169,"БиМ","рп.Усть-Абакан","5","4","4","3","12","11:07:01556","28"
170,"Боги Истории","Саров","3","8","2","3","12","11:07:02238","28"
171,"Вперёд!","Посёлок 2 участка им. В. В. Докучаева","5","4","4","4","11","11:07:06184","28"
172,"Солнышки","Новая усмань","3","7","3","4","11","11:07:18896","28"
173,"Коммунисты","Тольятти","5","5","3","4","11","11:06:56447","28"
174,"Варламовцы","Самарская область поселок Варламово","3","8","2","4","11","11:07:38580","28"
175,"Пионеры 2.0","Нижний Новгород","4","7","2","4","11","11:07:48741","28"
176,"Спорт и молодость","Кириши","4","6","3","5","10","11:07:38675","28"
177,"Мегаполис","Ижевск","3","7","4","4","10","11:06:53908","28"
178,"Юные гении","Зоринск","5","5","4","4","10","11:07:11556","28"
179,"Всегда Восемнадцать","Чебоксары","6","4","5","4","9","11:07:13172","28"
180,"Волонтёры Победы Черноморского","Черноморское Республика Крым","6","6","3","4","9","11:06:49630","28"
181,"Крутые","Воронеж","4","6","6","3","9","11:07:14090","28"
182,"Россиянки","Мокроусово","6","5","5","3","9","11:07:00747","28"
183,"В десяточку","Чаплыгин","4","6","5","5","8","11:07:41321","28"
184,"Бригада","Антрацит","5","6","5","4","8","11:07:28030","28"
185,"Воронежанки","Воронеж","4","7","6","3","8","11:06:34228","28"
186,"Спартанцы","Чебоксары","5","7","0","0","15","11:06:58118","27"
187,"Триколор","Лебедянь","4","1","5","4","13","11:07:19568","27"
188,"Юрьевский сельсовет","Задонский район село Яблоново","4","2","5","3","13","11:07:06209","27"
189,"Королёвцы","Тольятти","4","3","4","3","13","11:07:37456","27"
190,"Феникс","Ноябрьск","4","2","4","5","12","11:07:14301","27"
191,"Калибр nkvz","Новокузнецк","4","4","2","5","12","11:07:05837","27"
192,"РОСТteam","Волгодонск","2","5","4","4","12","11:07:02911","27"
193,"Молодёжка_ГГО","Гай","3","5","4","3","12","11:07:12481","27"
194,"Победа","Новгородская обл., рп Крестцы","3","5","4","3","12","11:07:26421","27"
195,"Наш дом - Россия","Вологодская область, Тотемский район, д.Матвеево","5","3","4","3","12","11:07:44748","27"
196,"Инсар","Инсар","6","2","4","4","11","11:06:13303","27"
197,"Сергачане","Сергач","4","5","4","3","11","11:07:18576","27"
198,"Кречет","Вологда","4","5","4","3","11","11:07:25687","27"
199,"Рычковские патриоты","С. Рычково, Белозерский район, Курганская область","4","6","4","2","11","11:07:36035","27"
200,"ЮГ","Санкт-Петербург","5","6","4","1","11","11:07:24449","27"
201,"«Импульсы Севера»","ЗАТО Александровск г. Полярный","5","2","5","5","10","11:07:24529","27"
202,"Русь-матушка","Каменка","1","8","3","5","10","11:06:56356","27"
203,"ВИМ","Полярный","3","7","2","5","10","11:07:32172","27"
204,"Молодость России","село Небуг, Туапсинский район","4","5","4","4","10","11:06:59382","27"
205,"Галактика","Сладково","4","5","4","4","10","11:07:15287","27"
206,"Три цвета Родины","Бугуруслан","4","5","4","4","10","11:07:34083","27"
207,"Русские матрешки!","Город Воронеж","5","5","3","4","10","11:07:20603","27"
208,"Профи","Ишим","5","5","3","4","10","11:07:42136","27"
209,"Звёздное равновесие","Саракташ","3","7","4","3","10","11:07:05039","27"
210,"Хранители Памяти","Самара","6","4","4","3","10","11:07:32955","27"
211,"The Best","Чебоксары","3","8","5","1","10","11:07:35152","27"
212,"Non-Stop","Малоивановка","4","5","5","4","9","11:07:18723","27"
213,"П-мезон","Балаково","4","6","4","4","9","11:07:13501","27"
214,"Усть-Абаканский ЦДО","рп. Усть-Абакан, Республика Хакасия.","5","5","4","4","9","11:07:00532","27"
215,"За Победу","Русский Камешкир","5","5","4","4","9","11:07:31533","27"
216,"мозговой штурм","Мончегорск","3","8","4","3","9","11:07:04087","27"
217,"Котики","город Чаплыгин","4","5","5","5","8","11:07:23786","27"
218,"Классическая гимназия 1 г.Пензы","Пенза","3","7","5","4","8","11:07:32609","27"
219,"МБУК «ЗЦКД»","Задонск","5","5","6","3","8","11:07:25567","27"
220,"Афанасьево","село Афанасьево","4","7","5","3","8","11:06:40459","27"
221,"Кни-Гуру","Магадан","5","7","5","3","7","11:07:24107","27"
222,"МБОУ Саконская СШ","Саконы","3","11","4","2","7","11:07:37539","27"
223,"Спящие в оглоблях","Саратов","2","10","6","3","6","11:07:29473","27"
224,"Девятка","Краснодон","3","3","3","3","14","11:07:11155","26"
225,"Триколор","Челябинск","1","3","5","5","12","11:07:19568","26"
226,"Хмелинецкий ЦКД","с.Хмелинец","5","1","4","4","12","11:07:08598","26"
227,"Великолепная тройка","Саратовская область, р.п. Ровное","5","1","4","4","12","11:08:01293","26"
228,"Drive","Морозовск","4","2","5","3","12","11:07:40524","26"
229,"Юнармеец","п. Островское Костромская область","5","4","2","3","12","11:07:08582","26"
230,"Алые паруса","Нововоронеж","4","6","1","3","12","11:07:24146","26"
231,"Берег мечты","Воронеж","4","5","2","4","11","11:06:56677","26"
232,"умники8а","курская обл. железногорский рн","5","4","3","3","11","11:06:02542","26"
233,"220V","Пенза","5","4","3","3","11","11:07:00085","26"
234,"Команда","село Дубское","3","8","2","2","11","11:07:35267","26"
235,"Библиотека Снежногорска","г. Снежногорск","3","4","4","5","10","11:06:57955","26"
236,"#МолодёжЪ","Красный Бор","3","4","5","4","10","11:06:58387","26"
237,"психи","тамбов","2","6","4","4","10","11:07:14021","26"
238,"Носки Доры","Новая Усмань","3","5","4","4","10","11:07:13077","26"
239,"Именно Тот","Краснодон, Луганская Народная Республика","4","5","4","3","10","11:07:20163","26"
240,"Политех","Прокопьевск","5","4","4","3","10","11:07:22540","26"
241,"Пламенные патриоты","ст.Григорополисская","5","5","3","3","10","11:07:33327","26"
242,"Триада","ЛНР Новопсковский район с. Можняковка","3","6","5","2","10","11:07:23940","26"
243,"Патриоты-36ВРН","Новая Усмань","3","8","3","2","10","11:07:11536","26"
244,"Сказочные девчата","Нижегородская область, р.п. Красные Баки","4","5","3","5","9","11:07:16618","26"
245,"Отважные","Д.Путилково","4","5","4","4","9","11:06:59697","26"
246,"Чёрная смородина","Пгт Каменка","4","6","3","4","9","11:07:23165","26"
247,"Дpужба","институт им.В.В.Докучаева 2-го участка","6","5","3","3","9","11:06:31014","26"
248,"Za Тимашевск","Тимашевск","4","5","6","2","9","11:07:42230","26"
249,"Импульс","п. Добринка","5","5","3","5","8","11:07:03138","26"
250,"Крутые ребята","Зоринск","5","5","4","4","8","11:07:11545","26"
251,"Эрудиты-патриоты","село Хлебородное","3","8","3","4","8","11:07:36246","26"
252,"РУСИЧИ","Лебедянь","4","8","3","3","8","11:07:51294","26"
253,"Вдохновение","Санкт-Петербург","3","7","6","2","8","11:07:17554","26"
254,"Константиновск","Константиновск","2","6","6","5","7","11:07:08328","26"
255,"Трак Ен","с.Красноармейское","4","8","3","4","7","11:06:55602","26"
256,"Вишневые традиции","Бутурлино","4","6","5","5","6","11:07:29585","26"
257,"Марсиане","Пикалево","5","7","4","4","6","11:07:03955","26"
258,"ВолонтёрыЧЕ","Чебоксары","6","6","5","3","6","11:07:02520","26"
259,"Человеки","Чебоксары","6","7","5","3","5","11:07:02938","26"
260,"Сибиряки","Омск","4","9","5","4","4","11:07:03147","26"
261,"Байкал","Ангарск","3","1","4","2","15","11:07:13459","25"
262,"ПРО100ПАРНИ","село Чекалино","3","3","3","2","14","11:07:30103","25"
263,"Ельчане","Елец","4","3","4","1","13","11:07:21225","25"
264,"КонФедерация Будущего","Тарбагатайский район, поселок Николаевский","4","4","3","2","12","11:07:15246","25"
265,"Киренчане","Киренск","3","3","4","5","10","11:07:14099","25"
266,"Одарённые","Саратов","5","1","5","4","10","11:07:27155","25"
267,"Сыны Отечества","Сергиев Посад","3","4","4","4","10","11:07:06441","25"
268,"МБО ДО Задонский Дом школьника","Задонск","3","5","4","3","10","11:07:18688","25"
269,"Алмазики 2.0","Абатское","6","2","4","3","10","11:07:04874","25"
270,"СемьяДети","Мончегорск","5","3","6","1","10","11:07:16864","25"
271,"Ура","Троицкое","2","8","4","1","10","11:07:30302","25"
272,"Спортивные смурфы","Мурманск","5","2","4","5","9","11:07:08094","25"
273,"два маэстро","Майкоп","3","8","1","4","9","11:08:26192","25"
274,"Братские девчата!","Братск","4","5","4","3","9","11:07:26886","25"
275,"Орлята","Железногорск","4","5","3","5","8","11:07:36861","25"
276,"Оптимисты","Новохопёрский район,село Красное","3","5","6","3","8","11:08:20891","25"
277,"От верблюда","Коркино","4","6","4","3","8","11:07:02581","25"
278,"Vместе сила!","С. Октябрьское","4","6","4","3","8","11:07:11131","25"
279,"Наследие","Новомеловатка","6","4","5","2","8","11:07:02311","25"
280,"Клевер","Саратов","3","6","5","4","7","11:07:01345","25"
281,"Сопки","Кола","4","5","5","4","7","11:07:12207","25"
282,"Мы - будущее!","Острогожск","5","5","4","4","7","11:07:46347","25"
283,"МБУК МЦК ""Элегия""","Задонск","4","7","4","3","7","11:07:22699","25"
284,"Креатив","Кондоль","5","5","5","4","6","11:07:17545","25"
285,"Славяне","Белая Глина","6","4","5","4","6","11:07:36268","25"
286,"Юниоры","г.Саратов","4","7","4","4","6","11:06:56213","25"
287,"Союз","р.п. Гидроторф","5","7","3","4","6","11:07:24151","25"
288,"Молодежный центр ""Краснотуранский""","Краснотуранск","5","8","2","4","6","11:08:10275","25"
289,"Уярская сила","Уяр","4","9","4","2","6","11:07:10907","25"
290,"Аврора","Воронеж","3","8","5","4","5","11:07:16686","25"
291,"Ветлужские девчата","р.п. Ветлужский","5","8","4","4","4","11:07:18266","25"
292,"Кольский51","с. Минькино Мурманская обл.","6","7","4","4","4","11:07:10942","25"
293,"Искра","с. Измалково","6","9","3","3","4","11:07:16144","25"
294,"Гвозди","Каменка","3","0","2","1","18","11:06:50558","24"
295,"Беркут","Новосибирск","4","1","2","2","15","11:07:49661","24"
296,"РоссияЭтоЯ","Орел","3","1","4","2","14","11:07:04374","24"
297,"Голубые овощи","Боготол","3","3","2","3","13","11:07:07936","24"
298,"Дружина имени Пушкина","Пушкин","1","5","3","2","13","11:06:46869","24"
299,"Моя Родина","Курган","3","5","1","2","13","11:07:01943","24"
300,"Покровчане","Энгельс","5","0","3","4","12","11:06:51381","24"
301,"Флаги","Елец","1","7","3","1","12","11:07:01632","24"
302,"Фалилеево","деревня Фалилеево","3","3","4","3","11","11:07:14507","24"
303,"Будущее России","с.Арзгир","5","1","5","2","11","11:07:14428","24"
304,"Фактура","Санкт-Петербург","4","3","4","2","11","11:06:55907","24"
305,"Домино","Полярный","1","7","4","1","11","11:07:03770","24"
306,"эльдорадо","с. Малячкино","3","3","4","4","10","11:06:30995","24"
307,"Патрик","село Тарногский Городок","5","2","3","4","10","11:07:02451","24"
308,"КРЕДО","Нижний Ломов","4","3","4","3","10","11:07:32007","24"
309,"Жители Коми","Ухта","5","4","2","3","10","11:06:59802","24"
310,"Зауралье","с. Кетово, Курганская область.","5","4","2","3","10","11:07:13664","24"
311,"Патриот","Азов","6","3","4","1","10","11:06:16610","24"
312,"Молодёжный совет","Новая Усмань","3","2","5","5","9","11:07:12846","24"
313,"Нижегородские Истоки","Нижний Новгород","3","6","3","3","9","11:07:17086","24"
314,"Альфа","Панкратовка","6","4","2","3","9","11:07:03148","24"
315,"Непобедимые апельсинки","Самара","4","5","4","2","9","11:07:05606","24"
316,"Зубры","г.Заволжье","5","4","4","2","9","11:07:53506","24"
317,"Синхронистки","ЗАТО п. Солнечный","4","4","3","5","8","11:07:27994","24"
318,"МБУК «Бутурлинская МЦБС»","Бутурлино","4","4","4","4","8","11:07:22173","24"
319,"unique","Воронеж","5","4","4","3","8","11:07:09704","24"
320,"Янегский ДК","п.Янега","3","8","4","1","8","11:07:25446","24"
321,"Сютовцы","Бугуруслан","5","3","5","4","7","11:07:24321","24"
322,"Команда ""А""","Сальск","5","3","5","4","7","11:07:34076","24"
323,"Russia48","Липецк","5","4","4","4","7","11:07:22944","24"
324,"Студенческое научное общество ЮУТУ","Челябинск","6","4","4","3","7","11:07:38720","24"
325,"БИБЛИОвектор ДОБРА","р.п. Мишкино Курганская область","4","7","4","2","7","11:07:12593","24"
326,"Супер интеллектуалы","Калач","5","6","4","2","7","11:07:07966","24"
327,"Культурная молодежь","Морозовск","4","5","5","4","6","11:07:23880","24"
328,"Саратов","Саратов","5","6","4","4","5","11:07:13010","24"
329,"Бригада что надо","Кемерово","5","6","4","4","5","11:07:17769","24"
330,"Факел","Моршанск","2","9","4","5","4","11:08:03489","24"
331,"Педагоги.ру","пос. Сергеевский, Гайнский МО","5","7","4","4","4","11:07:16613","24"
332,"Стрижи","Чебоксары","0","0","5","3","15","11:07:13156","23"
333,"Темп","Артемовск","3","2","5","1","12","11:07:33495","23"
334,"Деление на нуль","Антрацит","3","4","3","1","12","11:07:27761","23"
335,"волшебники","Липецкая область Добровский район с.Доброе","3","1","3","5","11","11:07:28894","23"
336,"Ратибор","С. Шалинское","4","1","3","4","11","11:06:41371","23"
337,"Огнедышащие тапки","Чебоксары","5","1","3","3","11","11:07:11074","23"
338,"Назарик","Воронеж","5","1","2","5","10","11:07:13517","23"
339,"Школа 2","Алушта","5","2","1","5","10","11:07:07271","23"
340,"Русичи 607110","Натальино","4","3","2","4","10","11:07:04230","23"
341,"Патриоты Наруксова","Наруксово","5","2","2","4","10","11:07:16430","23"
342,"Факел","с. Боготол","3","5","3","2","10","11:08:03489","23"
343,"Витязъ","Мурманск","5","4","3","1","10","11:07:04781","23"
344,"Владыки знаний","Село Нижний Икорец","2","5","5","2","9","11:07:01543","23"
345,"Золотая звезда","Тамбовская область, Никифоровский район, р.п.Дмитриевка","1","5","5","4","8","11:07:14202","23"
346,"Сибирские пчёлки","Междуреченск","4","3","4","4","8","11:07:10741","23"
347,"МБОУ ""Шумерлинская СОШ""","Шумерлинский район, д. Шумерля","4","4","3","4","8","11:07:08128","23"
348,"Октябрята","Воронеж","4","6","2","3","8","11:07:04365","23"
349,"Brain storm","Пенза","2","6","5","2","8","11:06:57343","23"
350,"Раздолье","Саратов","4","6","3","2","8","11:07:06398","23"
351,"Новое время","Зориковка","2","5","5","4","7","11:07:10004","23"
352,"Заозерск","Заозерск","3","6","4","3","7","11:07:12727","23"
353,"Молодые патриоты","Елец","4","5","4","3","7","11:07:40652","23"
354,"Веселые девчата","Апатиты","4","6","3","3","7","11:07:29888","23"
355,"Притамбовье","Тамбов","4","4","5","4","6","11:07:31417","23"
356,"Во!","Воротынец","4","6","3","5","5","11:07:10597","23"
